Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2000,Congressional District 1,622475.0,480028.0,105689.0,3529.0,2480.0,216.0,22633.0,7900.0,2612.0,5288.0,622475.0
2000,Congressional District 2,669591.0,519631.0,103685.0,3320.0,3052.0,225.0,30717.0,8961.0,3973.0,4988.0,669591.0
2000,Congressional District 3,835040.0,609159.0,80202.0,3948.0,66581.0,462.0,53828.0,20860.0,10291.0,10569.0,835040.0
2000,Congressional District 4,707329.0,602008.0,54135.0,5158.0,4318.0,245.0,29673.0,11792.0,4370.0,7422.0,707329.0
2000,Congressional District 5,657495.0,440493.0,114310.0,3914.0,9884.0,316.0,74168.0,14410.0,8740.0,5670.0,657495.0
2000,Congressional District 6,759418.0,621128.0,60952.0,3739.0,28398.0,1070.0,28054.0,16077.0,6583.0,9494.0,759418.0
2000,Congressional District 7,772147.0,558184.0,57948.0,3079.0,55965.0,456.0,73094.0,23421.0,14467.0,8954.0,772147.0
2000,Congressional District 8,776623.0,665282.0,40965.0,3039.0,19676.0,428.0,33371.0,13862.0,6672.0,7190.0,776623.0
2000,Congressional District 9,636960.0,428523.0,138273.0,2672.0,17326.0,261.0,37711.0,12194.0,6437.0,5757.0,636960.0
2000,Congressional District 10,791117.0,533878.0,75111.0,4630.0,36137.0,555.0,117945.0,22861.0,12903.0,9958.0,791117.0
2000,Congressional District 11,663275.0,466207.0,108807.0,4143.0,10038.0,1649.0,54480.0,17951.0,7432.0,10519.0,663275.0
2000,Congressional District 12,661753.0,492436.0,56919.0,4595.0,13989.0,1068.0,76467.0,16279.0,9349.0,6930.0,661753.0
2000,Congressional District 13,597401.0,443655.0,51020.0,4930.0,8257.0,291.0,75390.0,13858.0,7044.0,6814.0,597401.0
2000,Congressional District 14,688604.0,521030.0,62817.0,3664.0,5164.0,309.0,81155.0,14465.0,9028.0,5437.0,688604.0
2000,Congressional District 15,780310.0,599649.0,13809.0,3671.0,4605.0,295.0,140942.0,17339.0,14874.0,2465.0,780310.0
2000,Congressional District 16,620847.0,461298.0,18847.0,5126.0,6199.0,592.0,108851.0,19934.0,15283.0,4651.0,620847.0
2000,Congressional District 17,618958.0,520668.0,24896.0,3787.0,3328.0,227.0,54344.0,11708.0,6127.0,5581.0,618958.0
2000,Congressional District 18,606441.0,235344.0,244852.0,2562.0,18520.0,250.0,89176.0,15737.0,11307.0,4430.0,606441.0
2000,Congressional District 19,607535.0,492025.0,18479.0,4006.0,5956.0,202.0,74537.0,12330.0,7773.0,4557.0,607535.0
2000,Congressional District 20,624384.0,413828.0,36642.0,5985.0,8995.0,670.0,132070.0,26194.0,19162.0,7032.0,624384.0
2000,Congressional District 21,801078.0,692475.0,25810.0,3882.0,12945.0,607.0,48514.0,16845.0,8101.0,8744.0,801078.0
2000,Congressional District 22,784759.0,492840.0,115079.0,2930.0,78803.0,344.0,72595.0,22168.0,13543.0,8625.0,784759.0
2000,Congressional District 23,762627.0,587045.0,20918.0,4737.0,7635.0,406.0,121258.0,20628.0,15786.0,4842.0,762627.0
2000,Congressional District 24,680808.0,375452.0,144065.0,4559.0,17711.0,680.0,118599.0,19742.0,12948.0,6794.0,680808.0
2000,Congressional District 25,662264.0,354622.0,157362.0,2713.0,35805.0,459.0,92041.0,19262.0,13503.0,5759.0,662264.0
2000,Congressional District 26,845541.0,673943.0,50457.0,4063.0,39479.0,368.0,58301.0,18930.0,9916.0,9014.0,845541.0
2000,Congressional District 27,664428.0,506855.0,15201.0,3531.0,5351.0,349.0,115221.0,17920.0,14227.0,3693.0,664428.0
2000,Congressional District 28,646161.0,430656.0,52686.0,4983.0,4832.0,537.0,131495.0,20972.0,15983.0,4989.0,646161.0
2000,Congressional District 29,672591.0,341283.0,105836.0,4170.0,15071.0,446.0,181988.0,23797.0,19546.0,4251.0,672591.0
2000,Congressional District 30,633860.0,239880.0,248794.0,3297.0,15819.0,451.0,109383.0,16236.0,10966.0,5270.0,633860.0
2000,Texas,20851820.0,14799505.0,2404566.0,118362.0,562319.0,14434.0,2438001.0,514633.0,318946.0,195687.0,20851820.0
