Year,Districts,Estimate; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
2008,Texas,24326974,15456502,11488049,2732563,72288,827506,17046,41297,277753,19625,258128,8870472,6483268,47689,49063,13833,1298,2077737,197584,118040,79544
2008,Congressional District 1,696248,605855,466211,124182,1622,6095,255,838,6652,127,6525,90393,63587,988,260,219,0,23022,2317,1994,323
2008,Congressional District 2,773072,613717,431697,147335,1907,22239,211,1718,8610,954,7656,159355,101188,1716,546,388,41,49894,5582,3458,2124
2008,Congressional District 3,845481,659382,456634,86051,2627,97028,706,1169,15167,1048,14119,186099,122036,453,586,796,0,57559,4669,3353,1316
2008,Congressional District 4,812636,718340,606896,81544,4883,12532,920,336,11229,272,10957,94296,58581,428,2663,70,0,29138,3416,1888,1528
2008,Congressional District 5,733117,575805,449229,102192,2190,11013,0,1467,9714,571,9143,157312,101734,784,1068,391,0,50326,3009,1613,1396
2008,Congressional District 6,783790,610403,443892,116157,1952,33671,521,1674,12536,639,11897,173387,102628,2460,2985,258,214,60877,3965,2389,1576
2008,Congressional District 7,751034,576789,429249,71380,1799,66104,351,1197,6709,542,6167,174245,128734,1087,654,559,0,40794,2417,1684,733
2008,Congressional District 8,795104,688867,598489,66287,2945,10000,642,701,9803,1166,8637,106237,86029,225,506,0,35,16885,2557,1259,1298
2008,Congressional District 9,693304,412853,84784,252461,969,66293,461,2500,5385,303,5082,280451,180469,4143,1896,507,0,90226,3210,1517,1693
2008,Congressional District 10,955363,701312,522558,103760,2509,52323,810,4291,15061,1626,13435,254051,168600,2510,1609,779,0,71832,8721,3698,5023
