GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
5000900US4801,4801,"Congressional District 1 (109th Congress), Texas",692352,5251,516091,6001,124955,2543,1526,637,5177,669,299,273,35367,3575,8937,1776,2315,1009,6622,1503
5000900US4802,4802,"Congressional District 2 (109th Congress), Texas",747541,17174,489240,14416,161106,9398,2901,1311,26648,4555,298,377,57924,7638,9424,2209,2485,1241,6939,1846
5000900US4803,4803,"Congressional District 3 (109th Congress), Texas",813428,20653,546310,12714,92648,7918,2621,1136,89324,5314,0,281,70067,8616,12458,2344,4192,1332,8266,1787
5000900US4804,4804,"Congressional District 4 (109th Congress), Texas",780736,11259,635020,8433,81613,4761,5925,1108,12871,2541,85,147,32253,5299,12969,2457,3271,1130,9698,2244
5000900US4805,4805,"Congressional District 5 (109th Congress), Texas",714216,16794,544814,13696,92535,7994,2965,943,13443,2932,100,119,49808,7417,10551,2492,3929,1244,6622,1804
5000900US4806,4806,"Congressional District 6 (109th Congress), Texas",752355,16329,517589,13751,117648,7529,3679,894,28334,3642,317,320,71540,9509,13248,2557,3372,1308,9876,2190
5000900US4807,4807,"Congressional District 7 (109th Congress), Texas",763161,19577,559454,15293,71428,9798,1605,855,61680,8048,274,335,58900,10250,9820,2365,3066,1183,6754,1989
5000900US4808,4808,"Congressional District 8 (109th Congress), Texas",764463,4891,640659,7873,60587,3017,3804,874,9608,1139,93,111,40186,5605,9526,2164,2129,926,7397,1820
5000900US4809,4809,"Congressional District 9 (109th Congress), Texas",697784,22330,270751,15826,250167,14384,2033,1140,67529,7366,277,495,97435,9597,9592,2541,4964,2182,4628,1519
5000900US4810,4810,"Congressional District 10 (109th Congress), Texas",849012,20361,613817,17055,81663,7136,3484,1686,48187,6043,57,100,84379,10036,17425,3321,5610,1927,11815,2634
5000900US4811,4811,"Congressional District 11 (109th Congress), Texas",677683,6479,562200,8627,27663,1984,3601,1004,5161,1256,395,340,63825,5736,14838,2609,5437,1797,9401,1945
5000900US4812,4812,"Congressional District 12 (109th Congress), Texas",750559,15614,558818,12562,42179,5341,3591,953,20219,3485,81,112,109790,9014,15881,2384,6336,1712,9545,1865
5000900US4813,4813,"Congressional District 13 (109th Congress), Texas",654212,7570,521434,7378,39467,1597,4377,1250,8041,726,421,479,67423,5708,13049,1829,3174,1008,9875,1652
5000900US4814,4814,"Congressional District 14 (109th Congress), Texas",732497,10853,561304,11544,69459,4243,2447,687,17349,2421,1436,1962,63010,7869,17492,3045,7283,1928,10209,2387
5000900US4815,4815,"Congressional District 15 (109th Congress), Texas",722479,20739,485904,19362,22302,2079,1834,791,4468,1335,46,76,197328,13617,10597,2521,7425,2089,3172,1117
5000900US4816,4816,"Congressional District 16 (109th Congress), Texas",698733,5396,526273,11811,20284,1380,4404,1189,7746,911,855,186,125131,9658,14040,2624,8828,1916,5212,1621
5000900US4817,4817,"Congressional District 17 (109th Congress), Texas",708405,5955,566596,6993,71774,2729,3347,917,13001,751,302,426,39104,5045,14281,2115,6323,1702,7958,1707
5000900US4818,4818,"Congressional District 18 (109th Congress), Texas",686965,22022,281885,14255,262256,13561,3086,2495,21583,4658,287,379,108286,12156,9582,2557,4229,1701,5353,1679
5000900US4819,4819,"Congressional District 19 (109th Congress), Texas",657319,7213,517049,8204,35988,1862,4274,1342,6487,543,70,123,80019,5706,13432,1980,3827,920,9605,1785
5000900US4820,4820,"Congressional District 20 (109th Congress), Texas",684044,17192,411616,14893,44629,5186,3831,1293,11940,1753,1118,615,195473,11800,15437,3068,8436,2285,7001,2067
5000900US4821,4821,"Congressional District 21 (109th Congress), Texas",785645,16663,640494,14678,28782,4489,2581,744,29118,3526,86,115,67478,7703,17106,2709,7817,1988,9289,2048
5000900US4822,4822,"Congressional District 22 (109th Congress), Texas",808096,20306,530424,16719,105582,8355,4477,1538,85877,5805,1680,1168,65072,6784,14984,2844,5970,2127,9014,2606
5000900US4823,4823,"Congressional District 23 (109th Congress), Texas",777034,18090,604698,18445,18382,3761,4384,1380,14859,2346,339,340,119942,8937,14430,2708,7776,2000,6654,1437
5000900US4824,4824,"Congressional District 24 (109th Congress), Texas",766447,19360,531909,16569,92781,9556,5600,3073,63963,6484,2041,821,56633,7127,13520,3008,3314,1516,10206,2396
5000900US4825,4825,"Congressional District 25 (109th Congress), Texas",746233,16361,418220,16491,47236,4208,4239,1798,7141,2293,0,281,257596,13190,11801,2839,8067,2484,3734,1545
5000900US4826,4826,"Congressional District 26 (109th Congress), Texas",814119,17043,601401,13499,109385,6996,3718,1005,25929,4210,219,231,53385,7652,20082,3767,4778,1602,15304,2945
5000900US4827,4827,"Congressional District 27 (109th Congress), Texas",708251,10717,574802,13166,15560,1251,3197,1175,8565,1435,425,389,93744,7638,11958,2187,5773,1790,6185,1523
5000900US4828,4828,"Congressional District 28 (109th Congress), Texas",753251,17326,519108,15907,47617,4935,3547,1212,5795,1408,605,584,164821,11911,11758,2293,6027,1590,5731,1778
5000900US4829,4829,"Congressional District 29 (109th Congress), Texas",689768,20475,348596,20715,64323,8107,2011,1003,11275,3695,508,642,256150,16601,6905,1937,3799,1314,3106,1408
5000900US4830,4830,"Congressional District 30 (109th Congress), Texas",683482,20040,272439,14217,264461,10147,3016,1261,8254,2755,584,470,124630,13314,10098,2135,3323,1177,6775,1778
5000900US4831,4831,"Congressional District 31 (109th Congress), Texas",774224,4606,573620,6939,96801,3275,4723,1544,22230,1358,749,768,53064,6248,23037,3199,4114,1197,18923,2987
5000900US4832,4832,"Congressional District 32 (109th Congress), Texas",653289,18264,463402,17743,57254,6483,4683,1313,25406,3850,0,281,94182,10746,8362,1760,2822,1132,5540,1360
