GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US48,48,Texas,25257114,*****,18716520,44542,2970243,13225,129162,8782,969500,8159,18528,2995,1905113,39239,548048,20535,155229,11778,392819,14900
5001100US4801,4801,"Congressional District 1 (111th Congress), Texas",721485,2362,556398,5115,127158,2777,2925,1317,5563,1062,1160,1401,18085,3963,10196,2674,2743,1320,7453,2350
5001100US4802,4802,"Congressional District 2 (111th Congress), Texas",794169,19799,521271,15043,178863,11011,4254,1519,28838,5193,2362,1167,42145,6434,16436,3351,5032,1923,11404,2640
5001100US4803,4803,"Congressional District 3 (111th Congress), Texas",850855,14169,546638,13218,95490,7333,3978,1153,100354,6226,517,361,76506,10274,27372,4529,6051,1839,21321,3902
5001100US4804,4804,"Congressional District 4 (111th Congress), Texas",852594,6896,689048,8133,90257,4110,5535,1096,17778,4434,1696,1117,26998,4463,21282,3090,4326,1720,16956,2610
5001100US4805,4805,"Congressional District 5 (111th Congress), Texas",727987,10018,551382,11021,113759,9359,2875,859,13434,2886,262,277,31410,7538,14865,2972,4364,2244,10501,2319
5001100US4806,4806,"Congressional District 6 (111th Congress), Texas",818953,9300,579907,12457,141486,9073,5671,2004,32613,4426,234,303,40755,6506,18287,3458,3376,1454,14911,2997
5001100US4807,4807,"Congressional District 7 (111th Congress), Texas",790218,23180,563523,17794,69592,7846,3716,2133,78196,6163,156,164,58518,9464,16517,3233,3764,1423,12753,3261
5001100US4808,4808,"Congressional District 8 (111th Congress), Texas",840823,5673,721370,7760,61920,3545,4663,1536,13007,1018,242,263,22069,5668,17552,2845,2928,1305,14624,2521
5001100US4809,4809,"Congressional District 9 (111th Congress), Texas",727885,20941,250177,15883,266538,12532,2507,1131,79746,7268,526,769,117427,14201,10964,2835,4689,1711,6275,2155
5001100US4810,4810,"Congressional District 10 (111th Congress), Texas",970318,19554,712977,19058,107995,8671,4774,1976,60344,6206,366,585,62607,9486,21255,3369,5150,1663,16105,3002
5001100US4811,4811,"Congressional District 11 (111th Congress), Texas",712577,5584,631884,7192,27626,1939,4386,2475,3964,703,424,459,30549,4364,13744,2694,4102,1211,9642,2451
5001100US4812,4812,"Congressional District 12 (111th Congress), Texas",845535,12053,656751,15076,56992,6401,6756,1855,20826,3501,138,164,88495,9707,15577,2780,4386,1470,11191,2566
5001100US4813,4813,"Congressional District 13 (111th Congress), Texas",679699,6099,580573,7043,38295,1844,5385,1569,11977,1171,826,697,26338,4804,16305,2882,5215,1581,11090,2334
5001100US4814,4814,"Congressional District 14 (111th Congress), Texas",778788,10206,630232,9900,73195,5588,1945,780,27202,3791,43,77,25691,4632,20480,3467,3386,1083,17094,3357
5001100US4815,4815,"Congressional District 15 (111th Congress), Texas",781345,16050,657888,17436,12478,1572,2380,1914,7985,1686,42,71,92148,9692,8424,2329,5884,2097,2540,851
5001100US4816,4816,"Congressional District 16 (111th Congress), Texas",765076,4779,599525,11715,25057,2022,4454,1061,7817,987,137,160,113015,9810,15071,2203,7455,1787,7616,1589
5001100US4817,4817,"Congressional District 17 (111th Congress), Texas",760543,4307,623116,6680,77779,2880,3745,1108,13934,1148,869,1025,27041,4928,14059,2570,2996,1210,11063,2178
5001100US4818,4818,"Congressional District 18 (111th Congress), Texas",717553,20731,369494,17398,261158,11810,1348,651,23562,4265,125,164,54114,9211,7752,1886,2435,1197,5317,1499
5001100US4819,4819,"Congressional District 19 (111th Congress), Texas",692491,6297,568455,9160,38206,1908,4096,1242,8819,838,327,109,50744,7154,21844,3228,8682,2651,13162,2108
5001100US4820,4820,"Congressional District 20 (111th Congress), Texas",712239,18071,530806,16714,53384,5451,4792,1924,13118,2721,895,597,92262,10688,16982,3153,5877,1662,11105,2760
5001100US4821,4821,"Congressional District 21 (111th Congress), Texas",869422,17449,708503,14412,58793,5370,6315,2242,31278,3363,852,669,42508,6436,21173,3842,4500,1308,16673,3184
5001100US4822,4822,"Congressional District 22 (111th Congress), Texas",924709,19163,593550,15439,139791,8567,3597,1310,121183,6556,89,107,45404,7558,21095,4184,4785,1529,16310,3951
5001100US4823,4823,"Congressional District 23 (111th Congress), Texas",845902,18900,699567,17031,24393,3570,7567,2553,16033,2236,700,544,81334,9985,16308,2843,6975,1900,9333,1788
5001100US4824,4824,"Congressional District 24 (111th Congress), Texas",796543,12947,527630,12673,106945,8353,6140,1901,78072,5919,945,715,55299,9246,21512,4007,6015,2760,15497,2779
5001100US4825,4825,"Congressional District 25 (111th Congress), Texas",816087,11266,607917,13480,63444,4839,3983,1503,14730,2280,268,306,104487,9639,21258,4285,8174,2210,13084,3861
5001100US4826,4826,"Congressional District 26 (111th Congress), Texas",904158,11235,673556,11871,117720,7578,2624,1011,39362,4494,519,526,42166,8148,28211,4232,6373,2513,21838,3472
5001100US4827,4827,"Congressional District 27 (111th Congress), Texas",743452,5670,671156,7171,16744,1513,1215,634,8810,1358,375,633,32145,5793,13007,2608,4465,1490,8542,2059
5001100US4828,4828,"Congressional District 28 (111th Congress), Texas",873678,14931,779078,16868,10978,1226,2710,1249,7434,1421,199,234,61496,8316,11783,2865,5855,2480,5928,1621
5001100US4829,4829,"Congressional District 29 (111th Congress), Texas",683511,22297,472428,19068,63837,7720,6698,3823,9530,3503,89,184,124607,13354,6322,1753,3693,1363,2629,1054
5001100US4830,4830,"Congressional District 30 (111th Congress), Texas",695724,16889,285363,16154,283679,11472,2732,1399,10196,2578,214,172,96851,10359,16689,4150,3763,1686,12926,3779
5001100US4831,4831,"Congressional District 31 (111th Congress), Texas",909689,2545,700441,5393,112197,3552,2987,1176,31836,1523,2719,1261,27105,3759,32404,3729,5073,1519,27331,3478
5001100US4832,4832,"Congressional District 32 (111th Congress), Texas",653106,18439,455916,15527,54494,6720,2409,1014,31959,4023,212,227,94794,11649,13322,2877,2717,1208,10605,2595
