GEO.id,GEO.id2,GEO.display-label,HC01_VC02,HC02_VC02,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC05,HC02_VC05,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC16,HC02_VC16,HC01_VC17,HC02_VC17,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC26,HC02_VC26,HC01_VC27,HC02_VC27,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC33,HC02_VC33,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42,HC01_VC43,HC02_VC43,HC01_VC44,HC02_VC44,HC01_VC45,HC02_VC45,HC01_VC46,HC02_VC46,HC01_VC47,HC02_VC47
Id,Id2,Geography,Number; RACE - Total population,Percent; RACE - Total population,Number; RACE - Total population - One race,Percent; RACE - Total population - One race,Number; RACE - Total population - One race - White,Percent; RACE - Total population - One race - White,Number; RACE - Total population - One race - Black or African American,Percent; RACE - Total population - One race - Black or African American,Number; RACE - Total population - One race - American Indian and Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native,Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian,Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian,Number; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native,Number; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native,"Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified","Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified",Number; RACE - Total population - One race - Asian,Percent; RACE - Total population - One race - Asian,Number; RACE - Total population - One race - Asian - Asian Indian,Percent; RACE - Total population - One race - Asian - Asian Indian,Number; RACE - Total population - One race - Asian - Chinese,Percent; RACE - Total population - One race - Asian - Chinese,Number; RACE - Total population - One race - Asian - Filipino,Percent; RACE - Total population - One race - Asian - Filipino,Number; RACE - Total population - One race - Asian - Japanese,Percent; RACE - Total population - One race - Asian - Japanese,Number; RACE - Total population - One race - Asian - Korean,Percent; RACE - Total population - One race - Asian - Korean,Number; RACE - Total population - One race - Asian - Vietnamese,Percent; RACE - Total population - One race - Asian - Vietnamese,Number; RACE - Total population - One race - Asian - Other Asian category,Percent; RACE - Total population - One race - Asian - Other Asian category,Number; RACE - Total population - One race - Asian - Two or more Asian categories,Percent; RACE - Total population - One race - Asian - Two or more Asian categories,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander category,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander category,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Two or more Native Hawaiian or Other Pacific Islander categories,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander - Two or more Native Hawaiian or Other Pacific Islander categories,Number; RACE - Total population - One race - Some other race,Percent; RACE - Total population - One race - Some other race,Number; RACE - Total population - Two or more races,Percent; RACE - Total population - Two or more races,Number; RACE - Total population - Two or more races - Two races including Some other race,Percent; RACE - Total population - Two or more races - Two races including Some other race,"Number; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races","Percent; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races","Number; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races - Two races excluding Some other race","Percent; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races - Two races excluding Some other race","Number; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races - Three or more races","Percent; RACE - Total population - Two or more races - Two races excluding Some other race, and three or more races - Three or more races",Number; HISPANIC OR LATINO - Total population,Percent; HISPANIC OR LATINO - Total population,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Number; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population,Percent; RACE AND HISPANIC OR LATINO - Total population,Number; RACE AND HISPANIC OR LATINO - Total population - One race,Percent; RACE AND HISPANIC OR LATINO - Total population - One race,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or more races,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or more races,Number; RACE AND HISPANIC OR LATINO - Total population - Two or more races - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or more races - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or more races - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or more races - Not Hispanic or Latino
5000600US4801,4801,"Congressional District 1 (106th Congress), Texas",622475,100.0,614575,98.7,480028,77.1,105689,17.0,3529,0.6,2672,0.4,22,0.0,0,0.0,835,0.1,2480,0.4,660,0.1,360,0.1,500,0.1,144,0.0,242,0.0,270,0.0,266,0.0,38,0.0,216,0.0,60,0.0,29,0.0,45,0.0,81,0.0,1,0.0,22633,3.6,7900,1.3,2612,0.4,5288,0.8,4935,0.8,353,0.1,622475,100.0,45740,7.3,38774,6.2,452,0.1,197,0.0,6317,1.0,576735,92.7,622475,100.0,614575,98.7,43429,7.0,571146,91.8,7900,1.3,2311,0.4,5589,0.9
5000600US4802,4802,"Congressional District 2 (106th Congress), Texas",669591,100.0,660630,98.7,519631,77.6,103685,15.5,3320,0.5,2474,0.4,15,0.0,0,0.0,831,0.1,3052,0.5,783,0.1,317,0.0,527,0.1,149,0.0,179,0.0,558,0.1,487,0.1,52,0.0,225,0.0,67,0.0,51,0.0,67,0.0,40,0.0,0,0.0,30717,4.6,8961,1.3,3973,0.6,4988,0.7,4586,0.7,402,0.1,669591,100.0,67487,10.1,54683,8.2,622,0.1,261,0.0,11921,1.8,602104,89.9,669591,100.0,660630,98.7,64089,9.6,596541,89.1,8961,1.3,3398,0.5,5563,0.8
5000600US4803,4803,"Congressional District 3 (106th Congress), Texas",835040,100.0,814180,97.5,609159,72.9,80202,9.6,3948,0.5,2959,0.4,26,0.0,1,0.0,962,0.1,66581,8.0,16950,2.0,18065,2.2,4083,0.5,1247,0.1,5535,0.7,13645,1.6,5967,0.7,1089,0.1,462,0.1,156,0.0,68,0.0,103,0.0,129,0.0,6,0.0,53828,6.4,20860,2.5,10291,1.2,10569,1.3,9650,1.2,919,0.1,835040,100.0,128571,15.4,96047,11.5,2464,0.3,1220,0.1,28840,3.5,706469,84.6,835040,100.0,814180,97.5,121294,14.5,692886,83.0,20860,2.5,7277,0.9,13583,1.6
5000600US4804,4804,"Congressional District 4 (106th Congress), Texas",707329,100.0,695537,98.3,602008,85.1,54135,7.7,5158,0.7,4037,0.6,40,0.0,3,0.0,1078,0.2,4318,0.6,992,0.1,559,0.1,832,0.1,285,0.0,429,0.1,391,0.1,763,0.1,67,0.0,245,0.0,68,0.0,57,0.0,55,0.0,62,0.0,3,0.0,29673,4.2,11792,1.7,4370,0.6,7422,1.0,6954,1.0,468,0.1,707329,100.0,62413,8.8,51023,7.2,813,0.1,300,0.0,10277,1.5,644916,91.2,707329,100.0,695537,98.3,58963,8.3,636574,90.0,11792,1.7,3450,0.5,8342,1.2
5000600US4805,4805,"Congressional District 5 (106th Congress), Texas",657495,100.0,643085,97.8,440493,67.0,114310,17.4,3914,0.6,2772,0.4,23,0.0,0,0.0,1119,0.2,9884,1.5,2302,0.4,899,0.1,966,0.1,288,0.0,361,0.1,3664,0.6,1251,0.2,153,0.0,316,0.0,86,0.0,42,0.0,82,0.0,105,0.0,1,0.0,74168,11.3,14410,2.2,8740,1.3,5670,0.9,5104,0.8,566,0.1,657495,100.0,151339,23.0,123163,18.7,1031,0.2,992,0.2,26153,4.0,506156,77.0,657495,100.0,643085,97.8,143808,21.9,499277,75.9,14410,2.2,7531,1.1,6879,1.0
5000600US4806,4806,"Congressional District 6 (106th Congress), Texas",759418,100.0,743341,97.9,621128,81.8,60952,8.0,3739,0.5,2999,0.4,47,0.0,2,0.0,691,0.1,28398,3.7,6237,0.8,3969,0.5,2277,0.3,684,0.1,2099,0.3,8588,1.1,4026,0.5,518,0.1,1070,0.1,163,0.0,68,0.0,107,0.0,707,0.1,25,0.0,28054,3.7,16077,2.1,6583,0.9,9494,1.3,8707,1.1,787,0.1,759418,100.0,72697,9.6,49842,6.6,4361,0.6,873,0.1,17621,2.3,686721,90.4,759418,100.0,743341,97.9,68055,9.0,675286,88.9,16077,2.1,4642,0.6,11435,1.5
5000600US4807,4807,"Congressional District 7 (106th Congress), Texas",772147,100.0,748726,97.0,558184,72.3,57948,7.5,3079,0.4,1900,0.2,26,0.0,0,0.0,1153,0.1,55965,7.2,12490,1.6,11044,1.4,4978,0.6,1679,0.2,5222,0.7,14630,1.9,5054,0.7,868,0.1,456,0.1,106,0.0,73,0.0,150,0.0,123,0.0,4,0.0,73094,9.5,23421,3.0,14467,1.9,8954,1.2,8035,1.0,919,0.1,772147,100.0,181999,23.6,112632,14.6,3295,0.4,2986,0.4,63086,8.2,590148,76.4,772147,100.0,748726,97.0,171407,22.2,577319,74.8,23421,3.0,10592,1.4,12829,1.7
5000600US4808,4808,"Congressional District 8 (106th Congress), Texas",776623,100.0,762761,98.2,665282,85.7,40965,5.3,3039,0.4,2327,0.3,24,0.0,0,0.0,688,0.1,19676,2.5,5399,0.7,4380,0.6,2118,0.3,608,0.1,1848,0.2,2533,0.3,2400,0.3,390,0.1,428,0.1,118,0.0,60,0.0,127,0.0,114,0.0,9,0.0,33371,4.3,13862,1.8,6672,0.9,7190,0.9,6565,0.8,625,0.1,776623,100.0,87710,11.3,61836,8.0,2041,0.3,1087,0.1,22746,2.9,688913,88.7,776623,100.0,762761,98.2,82410,10.6,680351,87.6,13862,1.8,5300,0.7,8562,1.1
5000600US4809,4809,"Congressional District 9 (106th Congress), Texas",636960,100.0,624766,98.1,428523,67.3,138273,21.7,2672,0.4,1831,0.3,30,0.0,0,0.0,811,0.1,17326,2.7,3584,0.6,2048,0.3,2068,0.3,361,0.1,535,0.1,6821,1.1,1586,0.2,323,0.1,261,0.0,65,0.0,60,0.0,48,0.0,88,0.0,0,0.0,37711,5.9,12194,1.9,6437,1.0,5757,0.9,5129,0.8,628,0.1,636960,100.0,91877,14.4,69545,10.9,1744,0.3,824,0.1,19764,3.1,545083,85.6,636960,100.0,624766,98.1,86825,13.6,537941,84.5,12194,1.9,5052,0.8,7142,1.1
