table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Texas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
BOTH SEXES,"20,851,028","20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761","25,145,561","25,257,114"
.One Race,"20,652,092","20,742,193","21,100,688","21,454,489","21,778,369","22,123,663","22,489,209","23,047,570","23,496,827","23,950,126","24,418,451","24,743,157","24,852,097"
..White,"17,452,225","17,525,167","17,788,213","18,048,885","18,288,277","18,543,328","18,808,038","19,161,346","19,495,829","19,826,396","20,162,083","20,389,793","20,478,826"
..Black,"2,454,219","2,461,903","2,511,451","2,558,084","2,598,399","2,644,550","2,696,184","2,840,751","2,893,199","2,952,533","3,020,504","3,070,440","3,081,825"
..AIAN,"138,528","140,047","147,419","154,930","162,803","171,752","181,696","193,844","206,953","221,760","238,217","251,209","252,721"
..Asian,"586,638","594,335","631,951","670,055","705,573","739,882","778,158","825,341","873,102","920,343","967,252","1,000,473","1,007,273"
..NHPI,"20,482","20,741","21,654","22,535","23,317","24,151","25,133","26,288","27,744","29,094","30,395","31,242","31,452"
.Two or More Races,"198,936","202,306","218,934","235,836","252,562","270,360","288,914","312,010","335,156","358,913","383,310","402,404","405,017"
.NOT HISPANIC,"14,181,395","14,204,631","14,332,617","14,445,476","14,532,344","14,644,028","14,767,376","15,051,572","15,213,713","15,381,739","15,561,855","15,684,640","15,720,086"
..One Race,"14,013,810","14,035,120","14,151,988","14,253,918","14,330,410","14,431,266","14,542,718","14,811,798","14,959,428","15,112,604","15,277,744","15,388,940","15,422,202"
...White,"10,986,225","10,993,384","11,028,949","11,052,815","11,060,414","11,087,824","11,118,359","11,207,413","11,267,710","11,327,399","11,391,513","11,428,638","11,445,006"
...Black,"2,378,426","2,385,272","2,427,913","2,467,431","2,500,929","2,539,860","2,582,761","2,715,864","2,756,205","2,803,189","2,858,593","2,899,884","2,909,729"
...AIAN,"70,405","70,292","71,978","73,216","74,029","75,052","75,960","77,327","78,325","79,613","80,572","81,396","81,797"
...Asian,"567,526","574,837","611,174","647,808","681,836","714,720","751,113","795,922","840,990","885,352","929,211","960,543","967,063"
...NHPI,"11,228","11,335","11,974","12,648","13,202","13,810","14,525","15,272","16,198","17,051","17,855","18,479","18,607"
..Two or More Races,"167,585","169,511","180,629","191,558","201,934","212,762","224,658","239,774","254,285","269,135","284,111","295,700","297,884"
.HISPANIC,"6,669,633","6,739,868","6,987,005","7,244,849","7,498,587","7,749,995","8,010,747","8,308,008","8,618,270","8,927,300","9,239,906","9,460,921","9,537,028"
..One Race,"6,638,282","6,707,073","6,948,700","7,200,571","7,447,959","7,692,397","7,946,491","8,235,772","8,537,399","8,837,522","9,140,707","9,354,217","9,429,895"
...White,"6,466,000","6,531,783","6,759,264","6,996,070","7,227,863","7,455,504","7,689,679","7,953,933","8,228,119","8,498,997","8,770,570","8,961,155","9,033,820"
...Black,"75,793","76,631","83,538","90,653","97,470","104,690","113,423","124,887","136,994","149,344","161,911","170,556","172,096"
