"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48000","Texas","1","Personal income (thousands of dollars)",589275374,625492927,633035683,655908038,687220241,745858720,820949930,873354038,954649795,910498605,966149670,1057757511,1132222114,1159745579,1248733047,1280251017,1274394916,1357465627,1445270436
"48000","Texas","2","Population (persons) 1/",20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
"48000","Texas","3","Per capita personal income (dollars) 2/",28135,29339,29185,29772,30688,32745,35144,36646,39271,36711,38274,41244,43397,43781,46289,46577,45616,47929,50355
"48001","Anderson, TX","1","Personal income (thousands of dollars)",993286,1030435,1048734,1082988,1120275,1186863,1275176,1386194,1500800,1475254,1562474,1643914,1716013,1741086,1792068,1846394,1893275,1894609,1987998
"48001","Anderson, TX","2","Population (persons) 1/",55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58497,58394,58065,57977,57849,57646,57550,58212,58057
"48001","Anderson, TX","3","Per capita personal income (dollars) 2/",18039,18990,19158,19316,19918,20869,22221,23954,25892,25257,26710,28152,29553,30031,30978,32030,32898,32547,34242
"48003","Andrews, TX","1","Personal income (thousands of dollars)",266302,298578,299533,323117,344284,379004,433310,472190,562602,497524,540137,657058,774630,843171,939430,821388,716894,795025,906592
"48003","Andrews, TX","2","Population (persons) 1/",12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14849,15388,16113,16788,17445,18083,17805,17631,18128
"48003","Andrews, TX","3","Per capita personal income (dollars) 2/",20565,23225,23002,24901,26471,29118,32839,34943,39904,34075,36375,42699,48075,50225,53851,45423,40264,45092,50011
"48005","Angelina, TX","1","Personal income (thousands of dollars)",1798142,1904204,1961410,2036854,2113256,2203705,2363232,2517377,2653307,2621505,2719522,2903360,3077247,3033770,3256399,3343596,3252418,3245651,3387655
"48005","Angelina, TX","2","Population (persons) 1/",80270,80273,80803,81510,82070,82553,83810,84518,84961,86029,86905,87295,87520,87333,87599,87874,87759,87711,87092
"48005","Angelina, TX","3","Per capita personal income (dollars) 2/",22401,23722,24274,24989,25749,26694,28197,29785,31230,30472,31293,33259,35161,34738,37174,38050,37061,37004,38897
"48007","Aransas, TX","1","Personal income (thousands of dollars)",534435,558530,567273,586248,635693,694608,746779,787616,829327,818405,868293,936567,1037050,1080432,1139580,1168057,1092617,1142353,1151262
"48007","Aransas, TX","2","Population (persons) 1/",22452,22287,22616,22843,23067,23561,23395,23172,23225,23291,23182,23214,23457,23890,24570,24815,25191,25447,23792
"48007","Aransas, TX","3","Per capita personal income (dollars) 2/",23803,25061,25083,25664,27559,29481,31920,33990,35708,35138,37455,40345,44211,45225,46381,47071,43373,44891,48389
"48009","Archer, TX","1","Personal income (thousands of dollars)",230009,247857,254639,260890,264722,270546,301245,318771,362059,334853,354938,373930,401399,419024,440042,404782,400076,415598,442022
"48009","Archer, TX","2","Population (persons) 1/",8966,8849,8942,9013,9078,9068,9063,9026,9104,9023,9112,8834,8809,8795,8837,8758,8780,8786,8786
"48009","Archer, TX","3","Per capita personal income (dollars) 2/",25653,28010,28477,28946,29161,29835,33239,35317,39769,37111,38953,42329,45567,47643,49795,46219,45567,47302,50310
"48011","Armstrong, TX","1","Personal income (thousands of dollars)",49791,56917,60033,66042,69951,71340,71779,79201,76108,70508,76351,74984,72621,82721,83495,84297,84163,82986,90807
"48011","Armstrong, TX","2","Population (persons) 1/",2166,2128,2036,2001,2023,2037,1989,1936,1936,1911,1902,1936,1953,1939,1913,1901,1843,1881,1892
"48011","Armstrong, TX","3","Per capita personal income (dollars) 2/",22988,26747,29486,33004,34578,35022,36088,40910,39312,36896,40142,38731,37184,42662,43646,44344,45666,44118,47995
"48013","Atascosa, TX","1","Personal income (thousands of dollars)",767349,812482,846587,872157,906435,968615,1059026,1131135,1208020,1195704,1293775,1450469,1581612,1672136,1803083,1717203,1637013,1740189,1844379
"48013","Atascosa, TX","2","Population (persons) 1/",38805,39828,40767,41306,42109,42495,43059,43611,43947,44623,44953,45489,46430,47012,47708,48349,48703,49069,50310
"48013","Atascosa, TX","3","Per capita personal income (dollars) 2/",19774,20400,20766,21115,21526,22794,24595,25937,27488,26796,28781,31886,34064,35568,37794,35517,33612,35464,36660
"48015","Austin, TX","1","Personal income (thousands of dollars)",635942,704262,721211,754794,797601,882153,1006220,1086465,1187499,1100913,1114245,1178037,1328936,1318672,1420531,1498406,1435900,1444775,1520493
"48015","Austin, TX","2","Population (persons) 1/",23836,24341,24818,25388,25976,26331,26828,27454,27935,28254,28362,28599,28561,28684,28972,29473,29636,29757,29989
"48015","Austin, TX","3","Per capita personal income (dollars) 2/",26680,28933,29060,29730,30705,33502,37506,39574,42509,38965,39287,41192,46530,45972,49031,50840,48451,48552,50702
"48017","Bailey, TX","1","Personal income (thousands of dollars)",158834,167910,155327,165886,167737,189086,190302,195624,203572,187824,225965,244030,253604,258478,300487,322862,279599,310069,298694
"48017","Bailey, TX","2","Population (persons) 1/",6596,6636,6637,6791,6945,7024,7001,6927,6979,7050,7154,7175,7141,7128,6970,7222,7185,7054,7027
"48017","Bailey, TX","3","Per capita personal income (dollars) 2/",24080,25303,23403,24427,24152,26920,27182,28241,29169,26642,31586,34011,35514,36262,43111,44705,38914,43956,42507
"48019","Bandera, TX","1","Personal income (thousands of dollars)",474076,485597,492071,509971,537828,578845,618981,651579,706195,681879,675996,733427,792504,813074,855778,875694,891469,930830,991906
"48019","Bandera, TX","2","Population (persons) 1/",17755,18125,18652,19044,19226,19428,19775,20254,20407,20365,20562,20542,20594,20560,20816,21148,21705,22324,22824
"48019","Bandera, TX","3","Per capita personal income (dollars) 2/",26701,26792,26382,26779,27974,29794,31301,32170,34606,33483,32876,35704,38482,39546,41112,41408,41072,41696,43459
"48021","Bastrop, TX","1","Personal income (thousands of dollars)",1319596,1429991,1471361,1537115,1586901,1699263,1812294,1952018,2052776,2054795,2129217,2198673,2276642,2328707,2486618,2693269,2778993,2959429,3179953
"48021","Bastrop, TX","2","Population (persons) 1/",58234,61106,63508,65825,67122,68233,69720,71348,72389,73587,74362,75141,74858,75944,77994,80281,82827,84809,86976
"48021","Bastrop, TX","3","Per capita personal income (dollars) 2/",22660,23402,23168,23352,23642,24904,25994,27359,28358,27923,28633,29261,30413,30663,31882,33548,33552,34895,36561
"48023","Baylor, TX","1","Personal income (thousands of dollars)",88509,98189,99237,107041,107913,106433,111708,114548,125658,117682,120816,128492,129798,132062,136628,140686,134793,140251,149384
"48023","Baylor, TX","2","Population (persons) 1/",4135,3930,3897,3941,3955,3877,3870,3905,3747,3726,3708,3695,3590,3578,3567,3609,3638,3559,3582
"48023","Baylor, TX","3","Per capita personal income (dollars) 2/",21405,24984,25465,27161,27285,27452,28865,29334,33536,31584,32583,34775,36155,36909,38303,38982,37051,39407,41704
