GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
United States,Total,01000US,1,303965270,,229932155,8469,281944135,114829,210235180,110797
United States,Not Hispanic or Latino,01000US,2,256237740,2660,198526555,6986,247192720,51754,190456210,50115
United States,American Indian or Alaska Native Alone,01000US,3,2061475,7990,1461530,6078,2048495,7876,1450180,5975
United States,Asian Alone,01000US,4,14167305,19490,11018090,10375,10033545,19246,7329010,18339
United States,Black or African American Alone,01000US,5,37331095,22137,26744150,10417,35826240,22007,25437215,14995
United States,Native Hawaiian or Other Pacific Islander Alone,01000US,6,463240,4133,334815,2780,400550,4061,281130,3034
United States,White Alone,01000US,7,197120375,3966,156339780,3278,193878370,26130,153406065,22296
United States,American Indian or Alaska Native and White,01000US,8,1395365,7578,997245,5719,1392505,7601,994815,5676
United States,Asian and White,01000US,9,1201140,18008,551665,9888,1161320,17748,518785,9592
United States,Black or African American and White,01000US,10,1433320,16823,434160,6557,1415220,16592,418845,6425
United States,American Indian or Alaska Native and Black or African American,01000US,11,256870,5374,187000,3580,255565,5373,185840,3566
United States,Remainder of Two or More Race Responses,01000US,12,807555,11120,458125,7166,780920,10806,434325,6857
United States,Hispanic or Latino,01000US,13,47727535,2667,31405600,3156,34751415,69899,19778965,66395
