GEONAME,LNTITLE,GEOID,LNNUMBER,TOT_EST,TOT_MOE,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE
Alabama,Total,04000US01,1,4830620,,3718645,445,4722095,2837,3620995,2428
Alabama,Not Hispanic or Latino,04000US01,2,4637130,582,3598520,680,4593770,1875,3560010,1693
Alabama,American Indian or Alaska Native Alone,04000US01,3,22280,845,17650,710,22230,826,17595,696
Alabama,Asian Alone,04000US01,4,60330,1212,46365,912,37500,1236,26510,1016
Alabama,Black or African American Alone,04000US01,5,1272815,2214,941380,1271,1266075,2215,935440,1340
Alabama,Native Hawaiian or Other Pacific Islander Alone,04000US01,6,1580,291,1255,238,1395,288,1115,233
Alabama,White Alone,04000US01,7,3208875,27,2553750,6,3196310,1078,2542045,972
Alabama,American Indian or Alaska Native and White,04000US01,8,26420,884,20255,777,26405,886,20235,776
Alabama,Asian and White,04000US01,9,10055,979,5530,653,9410,947,5005,644
Alabama,Black or African American and White,04000US01,10,24290,1645,5700,661,24225,1640,5630,664
Alabama,American Indian or Alaska Native and Black or African American,04000US01,11,3580,693,2605,456,3540,670,2565,434
Alabama,Remainder of Two or More Race Responses,04000US01,12,6905,834,4030,427,6690,797,3865,397
Alabama,Hispanic or Latino,04000US01,13,193490,582,120125,626,128320,2290,60985,1899
Alaska,Total,04000US02,1,733375,,545250,168,709045,1397,523945,1078
Alaska,Not Hispanic or Latino,04000US02,2,685565,108,514270,185,664700,1305,496205,995
Alaska,American Indian or Alaska Native Alone,04000US02,3,98495,1553,67625,993,98465,1550,67590,996
Alaska,Asian Alone,04000US02,4,42580,893,32030,569,29815,1179,21125,802
Alaska,Black or African American Alone,04000US02,5,23810,746,17995,391,22505,797,16975,484
Alaska,Native Hawaiian or Other Pacific Islander Alone,04000US02,6,8650,375,5460,257,7670,399,4540,319
Alaska,White Alone,04000US02,7,458385,6,362840,23,452940,623,357845,524
Alaska,American Indian or Alaska Native and White,04000US02,8,30695,1590,18060,969,30610,1595,18035,969
Alaska,Asian and White,04000US02,9,7075,715,3270,433,7000,707,3235,435
Alaska,Black or African American and White,04000US02,10,5610,686,2305,371,5580,678,2275,369
Alaska,American Indian or Alaska Native and Black or African American,04000US02,11,2240,504,1085,236,2240,504,1085,236
Alaska,Remainder of Two or More Race Responses,04000US02,12,8020,927,3605,500,7875,919,3495,483
Alaska,Hispanic or Latino,04000US02,13,47810,108,30975,93,44345,468,27740,391
Arizona,Total,04000US04,1,6641930,,5024640,357,6100105,7446,4526595,6597
Arizona,Not Hispanic or Latino,04000US04,2,4627215,,3710490,356,4477220,3963,3574680,3343
Arizona,American Indian or Alaska Native Alone,04000US04,3,265945,1537,184555,1157,265345,1521,184040,1171
Arizona,Asian Alone,04000US04,4,196670,1629,155305,1135,137140,2283,102080,1906
Arizona,Black or African American Alone,04000US04,5,265620,2153,195275,1240,251440,2309,184250,1459
Arizona,Native Hawaiian or Other Pacific Islander Alone,04000US04,6,11485,627,8390,415,10275,623,7280,397
Arizona,White Alone,04000US04,7,3760375,29,3099565,29,3689065,2551,3032400,2236
Arizona,American Indian or Alaska Native and White,04000US04,8,30595,1541,21780,1167,30485,1542,21670,1168
Arizona,Asian and White,04000US04,9,34860,1654,17790,1030,32905,1706,16100,1021
Arizona,Black or African American and White,04000US04,10,35330,1791,12495,1032,34995,1770,12225,1009
Arizona,American Indian or Alaska Native and Black or African American,04000US04,11,5345,785,3410,532,5345,785,3410,532
Arizona,Remainder of Two or More Race Responses,04000US04,12,20990,1616,11925,1036,20230,1537,11225,980
Arizona,Hispanic or Latino,04000US04,13,2014710,,1314150,,1622885,6284,951915,5699
Arkansas,Total,04000US05,1,2958210,,2250385,535,2862265,2594,2164085,2245
Arkansas,Not Hispanic or Latino,04000US05,2,2754980,172,2127605,504,2725135,1624,2101145,1554
Arkansas,American Indian or Alaska Native Alone,04000US05,3,16460,978,12555,742,16430,982,12530,742
Arkansas,Asian Alone,04000US05,4,40790,942,31125,618,25885,1227,17840,999
Arkansas,Black or African American Alone,04000US05,5,457525,1287,327195,738,455740,1343,325540,775
Arkansas,Native Hawaiian or Other Pacific Islander Alone,04000US05,6,6740,507,3775,346,3130,423,1055,330
Arkansas,White Alone,04000US05,7,2179425,133,1723150,117,2170685,1033,1715040,912
Arkansas,American Indian or Alaska Native and White,04000US05,8,25685,892,19365,751,25665,893,19350,752
Arkansas,Asian and White,04000US05,9,6900,762,3305,433,6405,667,2870,339
Arkansas,Black or African American and White,04000US05,10,16005,1095,3885,579,15970,1091,3850,572
Arkansas,American Indian or Alaska Native and Black or African American,04000US05,11,1275,360,920,218,1275,360,920,218
Arkansas,Remainder of Two or More Race Responses,04000US05,12,4180,663,2325,357,3940,620,2150,319
Arkansas,Hispanic or Latino,04000US05,13,203225,173,122785,223,137130,1896,62940,1573
California,Total,04000US06,1,38421465,,29247120,331,33074020,30599,24280350,28753
California,Not Hispanic or Latino,04000US06,2,23670780,,19242610,329,21869200,14680,17598450,13102
California,American Indian or Alaska Native Alone,04000US06,3,144250,2571,112805,1927,143160,2577,111785,1926
California,Asian Alone,04000US06,4,5235390,8689,4240210,5073,4052800,10752,3159065,8913
California,Black or African American Alone,04000US06,5,2181835,5820,1692870,3299,2119745,5740,1637315,3838
California,Native Hawaiian or Other Pacific Islander Alone,04000US06,6,141765,1574,109180,1057,123855,1707,92860,1308
California,White Alone,04000US06,7,14945210,28,12492595,4,14441145,7100,12031375,6231
California,American Indian or Alaska Native and White,04000US06,8,163050,2483,127015,1934,162515,2494,126515,1946
California,Asian and White,04000US06,9,421580,8104,217460,4403,400620,7791,200265,4313
California,Black or African American and White,04000US06,10,183010,4745,86505,2435,180505,4619,84280,2343
California,American Indian or Alaska Native and Black or African American,04000US06,11,35660,2408,28335,1681,35470,2395,28175,1669
California,Remainder of Two or More Race Responses,04000US06,12,219025,4891,135630,2970,209385,4928,126815,3014
California,Hispanic or Latino,04000US06,13,14750685,,10004515,138,11204820,23014,6681900,21570
Colorado,Total,04000US08,1,5278905,,4037050,475,4962675,5451,3750955,4943
Colorado,Not Hispanic or Latino,04000US08,2,4166320,293,3310365,462,4056590,2863,3212695,2412
Colorado,American Indian or Alaska Native Alone,04000US08,3,28625,1159,21905,839,28545,1156,21840,837
Colorado,Asian Alone,04000US08,4,151750,2342,117835,1457,107275,2178,78710,1463
Colorado,Black or African American Alone,04000US08,5,205055,1955,153270,1165,190255,2374,140885,1589
Colorado,Native Hawaiian or Other Pacific Islander Alone,04000US08,6,6925,587,5360,429,6290,597,4770,441
Colorado,White Alone,04000US08,7,3655135,567,2945060,538,3607745,2078,2901640,1782
Colorado,American Indian or Alaska Native and White,04000US08,8,30240,1105,22815,742,30230,1107,22805,742
Colorado,Asian and White,04000US08,9,36455,2099,18615,1223,34755,1954,17145,1063
Colorado,Black or African American and White,04000US08,10,29930,1584,12375,902,29695,1578,12160,906
Colorado,American Indian or Alaska Native and Black or African American,04000US08,11,3820,693,2615,428,3820,693,2615,428
Colorado,Remainder of Two or More Race Responses,04000US08,12,18385,1573,10510,926,17980,1587,10130,932
Colorado,Hispanic or Latino,04000US08,13,1112585,293,726685,287,906085,4217,538255,3942
Connecticut,Total,04000US09,1,3593220,,2808485,117,3336145,4574,2574180,4133
Connecticut,Not Hispanic or Latino,04000US09,2,3066715,,2451225,114,2904760,3392,2304420,3085
Connecticut,American Indian or Alaska Native Alone,04000US09,3,4970,541,3840,356,4845,528,3760,354
Connecticut,Asian Alone,04000US09,4,151900,1104,116105,764,96105,1583,66485,1415
Connecticut,Black or African American Alone,04000US09,5,350170,1897,261920,1119,315950,2739,231665,2082
Connecticut,Native Hawaiian or Other Pacific Islander Alone,04000US09,6,825,123,650,113,705,117,535,111
Connecticut,White Alone,04000US09,7,2495945,28,2035510,28,2426410,2716,1970505,2425
Connecticut,American Indian or Alaska Native and White,04000US09,8,10540,541,7725,357,10510,538,7700,355
Connecticut,Asian and White,04000US09,9,16730,1044,7070,681,15695,948,6305,586
Connecticut,Black or African American and White,04000US09,10,23265,1665,9850,837,22855,1628,9540,823
Connecticut,American Indian or Alaska Native and Black or African American,04000US09,11,4015,581,3240,452,3985,576,3215,442
Connecticut,Remainder of Two or More Race Responses,04000US09,12,8360,880,5320,654,7695,874,4710,633
Connecticut,Hispanic or Latino,04000US09,13,526510,,357260,,431385,3062,269760,2727
Delaware,Total,04000US10,1,926455,,722300,95,882685,1740,681605,1557
Delaware,Not Hispanic or Latino,04000US10,2,845750,,670720,93,820535,1331,647445,1097
Delaware,American Indian or Alaska Native Alone,04000US10,3,2570,301,2110,239,2550,295,2110,239
Delaware,Asian Alone,04000US10,4,33720,544,26055,372,20840,753,14205,626
Delaware,Black or African American Alone,04000US10,5,195990,1167,145410,597,189355,1554,139470,977
Delaware,Native Hawaiian or Other Pacific Islander Alone,04000US10,6,155,96,155,96,150,94,150,94
Delaware,White Alone,04000US10,7,593390,27,488230,27,588065,596,483080,592
Delaware,American Indian or Alaska Native and White,04000US10,8,2640,313,2045,242,2630,318,2035,244
Delaware,Asian and White,04000US10,9,3200,529,1680,340,2970,494,1465,288
Delaware,Black or African American and White,04000US10,10,10135,1029,2605,444,10090,1025,2555,443
Delaware,American Indian or Alaska Native and Black or African American,04000US10,11,1255,401,940,284,1255,401,940,284
Delaware,Remainder of Two or More Race Responses,04000US10,12,2690,524,1490,349,2635,507,1435,328
Delaware,Hispanic or Latino,04000US10,13,80705,,51580,,62150,1066,34165,1015
District of Columbia,Total,04000US11,1,647485,,536180,32,592630,1892,485115,1584
District of Columbia,Not Hispanic or Latino,04000US11,2,581680,,486160,29,549985,1628,456785,1388
District of Columbia,American Indian or Alaska Native Alone,04000US11,3,1270,157,1165,127,1235,147,1130,121
District of Columbia,Asian Alone,04000US11,4,23960,443,22040,359,16495,690,14920,643
District of Columbia,Black or African American Alone,04000US11,5,311795,675,244820,427,302020,1306,235945,1078
District of Columbia,Native Hawaiian or Other Pacific Islander Alone,04000US11,6,220,101,220,101,220,101,220,101
District of Columbia,White Alone,04000US11,7,231485,28,209060,28,217780,1078,196260,932
District of Columbia,American Indian or Alaska Native and White,04000US11,8,850,157,705,127,845,160,695,130
District of Columbia,Asian and White,04000US11,9,4960,405,3195,323,4535,401,2870,316
District of Columbia,Black or African American and White,04000US11,10,3715,505,2295,334,3680,500,2255,327
District of Columbia,American Indian or Alaska Native and Black or African American,04000US11,11,940,237,775,181,940,237,775,181
District of Columbia,Remainder of Two or More Race Responses,04000US11,12,2485,390,1885,307,2235,380,1715,294
District of Columbia,Hispanic or Latino,04000US11,13,65805,,50020,,42645,1244,28330,1047
Florida,Total,04000US12,1,19645770,,15604650,515,17813580,16037,13933050,14470
Florida,Not Hispanic or Latino,04000US12,2,14985040,158,12117690,474,14275915,8324,11470705,7771
Florida,American Indian or Alaska Native Alone,04000US12,3,41305,1414,32915,1229,40500,1410,32125,1225
Florida,Asian Alone,04000US12,4,510510,2642,410035,1868,370770,3946,282850,3088
Florida,Black or African American Alone,04000US12,5,3055240,5357,2230965,2863,2785830,7095,1990530,5309
Florida,Native Hawaiian or Other Pacific Islander Alone,04000US12,6,10710,725,8205,482,9570,623,7165,538
Florida,White Alone,04000US12,7,11054370,31,9269155,2,10768415,6005,9002190,5518
Florida,American Indian or Alaska Native and White,04000US12,8,57155,1500,46235,1315,56855,1517,45935,1333
Florida,Asian and White,04000US12,9,75965,2500,40110,1658,72075,2453,36770,1528
Florida,Black or African American and White,04000US12,10,115030,4127,37885,1894,112540,4044,35835,1835
Florida,American Indian or Alaska Native and Black or African American,04000US12,11,11335,1452,8215,960,11095,1404,8020,922
Florida,Remainder of Two or More Race Responses,04000US12,12,53425,3083,33975,1902,48275,2815,29290,1693
Florida,Hispanic or Latino,04000US12,13,4660735,157,3486955,224,3537665,12635,2462345,11471
Georgia,Total,04000US13,1,10006695,,7515615,953,9418050,8395,6978660,7652
Georgia,Not Hispanic or Latino,04000US13,2,9091575,644,6937860,941,8822065,5811,6696500,5212
Georgia,American Indian or Alaska Native Alone,04000US13,3,18790,1118,14900,912,18070,1080,14235,886
Georgia,Asian Alone,04000US13,4,362535,2271,276960,1327,240285,3966,168155,3201
Georgia,Black or African American Alone,04000US13,5,3065585,3924,2230020,2157,2992630,4906,2164305,3491
Georgia,Native Hawaiian or Other Pacific Islander Alone,04000US13,6,4155,416,2990,327,3645,422,2535,333
Georgia,White Alone,04000US13,7,5475050,10,4331150,9,5406710,2723,4268930,2452
Georgia,American Indian or Alaska Native and White,04000US13,8,27710,1234,21815,1036,27650,1232,21755,1036
Georgia,Asian and White,04000US13,9,34355,2060,16570,1108,32065,1934,15070,1046
Georgia,Black or African American and White,04000US13,10,68405,3151,21695,1362,67415,3051,20795,1276
Georgia,American Indian or Alaska Native and Black or African American,04000US13,11,8605,849,6950,705,8540,853,6885,711
Georgia,Remainder of Two or More Race Responses,04000US13,12,26380,2208,14815,1154,25055,2053,13835,1104
Georgia,Hispanic or Latino,04000US13,13,915120,643,577750,766,595985,4430,282160,4063
Hawaii,Total,04000US15,1,1406300,,1098100,59,1298755,3414,1001730,2868
Hawaii,Not Hispanic or Latino,04000US15,2,1267050,,1010960,55,1165250,3241,920100,2666
Hawaii,American Indian or Alaska Native Alone,04000US15,3,2230,295,1980,274,2200,293,1965,274
Hawaii,Asian Alone,04000US15,4,519275,3668,442865,2622,448170,3386,378550,2623
Hawaii,Black or African American Alone,04000US15,5,26905,750,21415,527,26465,751,21050,524
